Station,Station Name,Country,Watershed-Area,Latitude,Longitude,YR-MaxFlow-2020,Specific-YR-MaxFlow-2020,GM-MaxFlow-2020,Specific-GM-MaxFlow-2020,NGM-MaxFlow-2020,Specific-NGM-MaxFlow-2020,YR-MinFlow-2020,Specific-YR-MinFlow-2020,GM-MinFlow-2020,Specific-GM-MinFlow-2020,NGM-MinFlow-2020,Specific-NGM-MinFlow-2020,YR-MedianFlow-2020,Specific-YR-MedianFlow-2020,GM-MedianFlow-2020,Specific-GM-MedianFlow-2020,NGM-MedianFlow-2020,Specific-NGM-MedianFlow-2020,YR-Q95Flow-2020,Specific-YR-Q95-2020,GM-Q95Flow-2020,Specific-GM-Q95-2020,NGM-Q95Flow-2020,Specific-NGM-Q95-2020,YR-Q5Flow-2020,Specific-YR-Q5-2020,GM-Q5Flow-2020,Specific-GM-Q5-2020,NGM-Q5Flow-2020,Specific-NGM-Q5-2020,YR-BFI-2020,GM-BFI-2020,NGM-BFI-2020,YR-DOY-MaxFlow-2020,GM-DOY-MaxFlow-2020,NGM-DOY-MaxFlow-2020,YR-DOY-MinFlow-2020,GM-DOY-MinFlow-2020,NGM-DOY-MinFlow-2020,YR-RBI-2020,GM-RBI-2020,NGM-RBI-2020,YR-CVQ-2020,GM-CVQ-2020,NGM-CVQ-2020
02GA003,SYDENHAM RIVER NEAR ALVINSTON,Canada,701.1790315,42.83081,-81.85172,639,78.73823591,49.5,6.09944081,639,78.73823591,12.3,1.515618626,12.3,1.515618626,16.9,2.082435347,24.7,3.043559354,18.8,2.316555298,32.65,4.023166514,127.4,15.69835877,37.92,4.672541324,166.8,20.55326722,14.24,1.754667417,13.66,1.683199222,166.8,20.55326722,0.455943537,0.418963606,0.445302,12,140,12,214,214,286,0.22,0.16,0.24,1.3909,0.3529,1.2703
02GA005,SYDENHAM RIVER AT FLORENCE,Canada,1149.322027,42.65061,-82.00839,103,7.742999604,5.96,0.44804153,103,7.742999604,0.054000001,0.004059437,0.054000001,0.004059437,0.50400001,0.037888076,1.1,0.082692229,0.40599999,0.030520949,1.64,0.123286596,7.70399998,0.579146299,1.664,0.12509079,16.03499955,1.205427138,0.1342,0.010088452,0.087800002,0.006600344,16.03499955,1.205427138,0.403112718,0.404019131,0.393692727,12,140,12,238,238,319,0.52,0.33,0.54,2.948,1.1331,2.4142
02GA010,SYDENHAM RIVER AT STRATHROY,Canada,170.5938779,42.95886,-81.62714,314,159.0303259,32.599998,16.51079078,314,159.0303259,1.8099999,0.91670342,1.8099999,0.91670342,2.25,1.139548514,5.96,3.018537396,3.21,1.625755879,7.8499999,3.975758097,29.3799998,14.87997116,11.36,5.753453829,39.80499965,20.15987919,2.274,1.151703698,2.06799994,1.04737167,39.80499965,20.15987919,0.470426743,0.472868429,0.462725303,13,141,13,271,271,286,0.35,0.17,0.39,2.1678,0.805,1.9489
02GA014,BEAR CREEK NEAR PETROLIA,Canada,248.7221028,42.90583,-82.11911,188,65.30662059,29.1,10.10863117,188,65.30662059,0.574,0.199393618,0.574,0.199393618,2,0.694751283,4.5900002,1.594454264,1.74,0.604433616,6.64999985,2.310047963,29.5,10.24758142,8.02200012,2.786647437,57.20500245,19.87162442,0.889600004,0.309025372,0.728800026,0.253167377,57.20500245,19.87162442,0.385476638,0.440358057,0.383326193,12,217,12,189,189,286,0.41,0.37,0.41,1.9411,1.3275,1.6394
02GA015,BEAR CREEK BELOW BRIGDEN,Canada,535.608101,42.81203,-82.29842,65.800003,10.61432837,8.3599997,1.348568053,65.800003,10.61432837,1.37,0.220997404,1.37,0.220997404,1.67,0.269390996,3.3800001,0.545234488,2.3,0.37101754,5.4599998,0.880763345,17.0200002,2.745529828,5.18199998,0.835918645,21.445,3.45933528,1.67,0.269390996,1.526,0.246162072,21.445,3.45933528,0.488422152,0.416086555,0.429592839,13,141,13,238,238,276,0.14,0.12,0.15,1.2562,0.4745,1.1294
02GA016,BLACK CREEK NEAR BRADSHAW,Canada,213.3575584,42.76244,-82.25922,120,48.59448185,20.200001,8.180071517,120,48.59448185,3.3599999,1.360645451,3.3599999,1.360645451,4.8499999,1.964026934,5.4400001,2.202949885,5.1300001,2.07741414,5.84500005,2.366956241,36.8599998,14.92660493,8.11999992,3.288226573,50.06499945,20.27402256,4.25200004,1.72186449,3.8299999,1.550973839,50.06499945,20.27402256,0.407754872,0.309012681,0.378414718,16,221,16,206,206,285,0.21,0.11,0.24,1.3999,0.3371,1.2987
02GA018,LITTLE RIVER AT WINDSOR,Canada,55.2569403,42.30986,-82.9285,296,462.8269293,23.4,36.58834508,296,462.8269293,0.175,0.273630786,0.175,0.273630786,0.37200001,0.581660886,1.8,2.814488083,0.616,0.963180366,2.6550001,4.151370079,17.0799994,26.70636376,4.84399996,7.574100091,26.455,41.3651568,0.31999999,0.500353421,0.283399996,0.443125506,26.455,41.3651568,0.461412039,0.412636802,0.456860145,12,140,12,191,191,285,0.62,0.4,0.64,3.5504,1.7346,2.9674
02GA023,THAMES RIVER AT BYRON,Canada,3082.608824,42.9625,-81.33178,55.400002,1.552762756,2.3699999,0.066426849,55.400002,1.552762756,0.27599999,0.007735785,0.27599999,0.007735785,0.31600001,0.008856914,0.51099998,0.014322414,0.426,0.011940016,0.791999995,0.02219834,4.7919999,0.134311168,0.994200012,0.027865644,6.5035001,0.182281451,0.33199999,0.009305365,0.32120001,0.009002661,6.5035001,0.182281451,0.434655562,0.454186156,0.382688667,12,163,12,234,234,309,0.4,0.23,0.44,2.7017,0.5346,2.3577
02GA024,THAMES RIVER AT THAMESVILLE,Canada,4370.375881,42.54486,-81.96727,11.3,0.223394973,2.1700001,0.042899744,11.3,0.223394973,0.052999999,0.001047782,0.052999999,0.001047782,0.14,0.002767725,0.34900001,0.006899544,0.18799999,0.00371666,0.41100001,0.008125251,1.776,0.035110573,1.44,0.028468032,2.0879999,0.041278644,0.113,0.00223395,0.097599999,0.0019295,2.0879999,0.041278644,0.354794278,0.433762102,0.292084476,11,162,11,244,244,286,0.4,0.55,0.35,1.6519,1.1333,1.6224
02GA028,DINGMAN CREEK BELOW LAMBETH,Canada,148.5857904,42.93411,-81.35131,150,87.22233778,8.3000002,4.826302807,150,87.22233778,1.74,1.011779118,1.74,1.011779118,3.04,1.767706046,3.6400001,2.116595455,2.28,1.325779534,4.8399999,2.814374041,17.7399992,10.31549468,4.83399984,2.810885113,27.99,16.27568823,1.85,1.075742166,1.79,1.040853231,27.99,16.27568823,0.413956604,0.377751524,0.401798018,14,271,14,195,195,118,0.27,0.06,0.31,2.0919,0.4669,1.8523
