station,beans2013,canola2013,corn2013,fallow2013,grapes2013,oats2013,peas2013,potatoes2013,sod2013,soyabeans2013,springwheat2013,tomatoes2013,winterwheat2013
02GA003,0.011725926,0.060652223,16.69912632,0.0,0.0,0.531302205,0.000153615,0.150363235,0.080161295,11.05680545,0.0,0.0,0.0
02GA005,0.0,0.159327616,20.41318249,0.0,0.0,1.08267927,0.0,0.093564875,0.0,22.29998503,0.0,0.0,0.0
02GA010,0.032457927,0.045597731,24.34361893,0.0,0.0,0.642806175,0.0,0.067091317,0.025844515,15.45745662,0.0,0.0,0.0
02GA014,0.001764667,0.0551119,11.73109736,0.0,0.0,0.715233011,0.0,0.415511149,0.0,8.64401649,0.0,0.0,0.0
02GA015,0.0,0.007765981,11.53295708,0.0,0.0,0.048656248,0.0,0.025992263,0.044060055,11.11803182,0.0,0.0,0.0
02GA016,0.001490927,0.081542214,12.62883613,0.0,0.0,0.665526681,0.0,0.379612841,0.0,9.345930516,0.0,0.0,0.0
02GA018,0.061684091,0.078882873,23.23571922,0.0,0.0,1.00215977,0.0,0.050604107,0.048950378,13.92539036,0.0,0.0,0.0
02GA023,0.0,0.067864555,29.98666383,0.0,0.0,1.021913938,0.004734736,0.097062096,0.0,4.94464304,0.0,0.0,0.0
02GA024,0.0,0.097296969,8.413147253,0.0,0.0,0.139864392,0.0,0.191553407,0.0,5.004712822,0.0,0.0,0.0
02GA028,0.060826963,0.101798493,22.60619899,0.0,0.0,0.620245924,0.0,0.098174088,0.0,17.53865112,0.0,0.0,0.0
02GA029,0.0,0.0,9.461823781,0.0,0.0,0.0,0.0,0.015551979,0.0,8.054369717,0.0,0.0,0.0
02GA030,0.0,0.045551169,18.89993927,0.0,0.0,0.136653507,0.0,0.0,0.0,13.45847252,0.0,0.0,0.0
02GA031,0.0,0.0,6.992278997,0.0,0.0,0.0,0.0,0.0,0.0,4.983950724,0.0,0.0,0.0
02GA039,0.126467399,0.132364842,20.55422863,0.0,0.0,0.619231563,0.0,0.141211007,0.0,19.13687639,0.0,0.0,0.0
02GA043,0.0,0.0,21.40902873,0.0,0.0,0.991792066,0.0,1.70998632,0.0,16.04651163,0.0,0.0,0.0
02GA047,0.0,0.005790573,11.49806843,0.0,0.0,0.036279711,0.0,0.046797282,0.305600429,11.04687646,0.0,0.0,0.0
02GB001,0.014381243,0.050481451,19.32567372,0.0,0.0,0.501474467,0.000103836,0.191351871,0.072702289,12.74065652,0.0,0.0,0.0
02GB006,0.0,0.0,32.74680708,0.0,0.0,0.140635476,0.0,0.042517702,0.0,17.03869656,0.0,0.0,0.0
02GB008,0.0,0.005597668,29.15731778,0.0,0.0,0.193586006,0.0,0.813760933,0.161632653,19.21842566,0.0,0.0,0.0
02GB010,0.0,0.0,12.18701656,0.0,0.0,0.0,0.0,0.534943198,0.008854951,17.69896293,0.0,0.0,0.0
02GC002,0.053587215,0.713770826,28.54457667,0.0,0.0,0.061203672,0.0,0.197211833,0.007616457,27.73696022,0.0,0.0,0.0
02GC006,0.0,0.015330332,23.40211705,0.0,0.0,0.095875411,0.0,1.76955834,0.081275094,18.79693393,0.0,0.0,0.0
02GC007,0.0,0.010004256,22.90752257,0.0,0.0,0.071617768,0.0,1.490634111,0.071617768,18.25427325,0.0,0.0,0.0
02GC008,0.0,0.0,19.12279493,0.0,0.0,0.0,0.0,1.727733282,0.17721947,15.3773898,0.0,0.0,0.0
