2011_PC1_0.39,2011_PC2_0.24,2012_PC1_0.41,2012_PC2_0.27,2013_PC1_0.39,2013_PC2_0.25,2014_PC1_0.37,2014_PC2_0.24,2015_PC1_0.4,2015_PC2_0.26,2016_PC1_0.39,2016_PC2_0.22,2017_PC1_0.42,2017_PC2_0.27,2018_PC1_0.4,2018_PC2_0.25,2019_PC1_0.39,2019_PC2_0.26,2020_PC1_0.38,2020_PC2_0.23
Specific-YR-MedianFlow-2011,YR-CVQ-2011,Specific-YR-MedianFlow-2012,YR-RBI-2012,Specific-YR-MedianFlow-2013,YR-CVQ-2013,Specific-YR-MedianFlow-2014,YR-CVQ-2014,Specific-YR-MedianFlow-2015,YR-CVQ-2015,Specific-YR-MedianFlow-2016,YR-CVQ-2016,Specific-YR-MedianFlow-2017,YR-CVQ-2017,Specific-YR-MedianFlow-2018,YR-RBI-2018,Specific-YR-MedianFlow-2019,YR-CVQ-2019,Specific-YR-MedianFlow-2020,YR-RBI-2020
Specific-YR-Q5-2011,YR-RBI-2011,Specific-YR-Q95-2012,YR-CVQ-2012,Specific-YR-Q5-2013,YR-RBI-2013,Specific-YR-Q5-2014,YR-RBI-2014,Specific-YR-Q5-2015,YR-RBI-2015,Specific-YR-Q5-2016,YR-RBI-2016,Specific-YR-Q5-2017,YR-RBI-2017,Specific-YR-Q5-2018,YR-CVQ-2018,Specific-YR-Q5-2019,YR-RBI-2019,Specific-YR-Q5-2020,YR-CVQ-2020
Specific-YR-MinFlow-2011,YR-BFI-2011,Specific-YR-Q5-2012,YR-BFI-2012,Specific-YR-MinFlow-2013,YR-BFI-2013,Specific-YR-MinFlow-2014,YR-BFI-2014,Specific-YR-MinFlow-2015,YR-BFI-2015,Specific-YR-MinFlow-2016,YR-BFI-2016,Specific-YR-MinFlow-2017,YR-BFI-2017,Specific-YR-Q95-2018,YR-BFI-2018,Specific-YR-Q95-2019,YR-BFI-2019,Specific-YR-MinFlow-2020,YR-BFI-2020
Specific-YR-Q95-2011,Specific-YR-MaxFlow-2011,Specific-YR-MinFlow-2012,YR-DOY-MaxFlow-2012,Specific-YR-Q95-2013,YR-DOY-MaxFlow-2013,Specific-YR-Q95-2014,Specific-YR-MaxFlow-2014,Specific-YR-Q95-2015,YR-DOY-MinFlow-2015,Specific-YR-Q95-2016,Specific-YR-MaxFlow-2016,Specific-YR-Q95-2017,YR-DOY-MaxFlow-2017,Specific-YR-MaxFlow-2018,YR-DOY-MaxFlow-2018,Specific-YR-MinFlow-2019,Specific-YR-MaxFlow-2019,Specific-YR-Q95-2020,Specific-YR-MaxFlow-2020
Specific-YR-MaxFlow-2011,Specific-YR-Q95-2011,Specific-YR-MaxFlow-2012,Specific-YR-MinFlow-2012,Specific-YR-MaxFlow-2013,Specific-YR-MaxFlow-2013,Specific-YR-MaxFlow-2014,Specific-YR-Q95-2014,Specific-YR-MaxFlow-2015,Specific-YR-MaxFlow-2015,Specific-YR-MaxFlow-2016,Specific-YR-Q95-2016,Specific-YR-MaxFlow-2017,YR-DOY-MinFlow-2017,Specific-YR-MinFlow-2018,Specific-YR-MaxFlow-2018,Specific-YR-MaxFlow-2019,YR-DOY-MaxFlow-2019,Specific-YR-MaxFlow-2020,Specific-YR-Q95-2020
