2011_PC1_0.39,2011_PC2_0.2,2012_PC1_0.4,2012_PC2_0.21,2013_PC1_0.38,2013_PC2_0.21,2014_PC1_0.37,2014_PC2_0.21,2015_PC1_0.39,2015_PC2_0.22,2016_PC1_0.38,2016_PC2_0.18,2017_PC1_0.41,2017_PC2_0.24,2018_PC1_0.41,2018_PC2_0.19,2019_PC1_0.39,2019_PC2_0.22,2020_PC1_0.39,2020_PC2_0.19
Specific-NGM-MedianFlow-2011,NGM-CVQ-2011,Specific-NGM-MedianFlow-2012,GM-RBI-2012,Specific-NGM-MedianFlow-2013,GM-CVQ-2013,Specific-NGM-MedianFlow-2014,NGM-RBI-2014,Specific-NGM-MedianFlow-2015,GM-CVQ-2015,Specific-NGM-MedianFlow-2016,NGM-RBI-2016,Specific-NGM-MedianFlow-2017,NGM-CVQ-2017,Specific-NGM-MedianFlow-2018,NGM-RBI-2018,Specific-GM-Q95-2019,NGM-CVQ-2019,Specific-NGM-MedianFlow-2020,NGM-RBI-2020
Specific-GM-MedianFlow-2011,GM-RBI-2011,Specific-GM-MedianFlow-2012,NGM-RBI-2012,Specific-GM-MedianFlow-2013,NGM-RBI-2013,Specific-GM-Q95-2014,GM-RBI-2014,Specific-GM-Q95-2015,NGM-RBI-2015,Specific-GM-MedianFlow-2016,GM-CVQ-2016,Specific-GM-Q95-2017,GM-RBI-2017,Specific-NGM-Q95-2018,GM-RBI-2018,Specific-GM-MedianFlow-2019,NGM-RBI-2019,Specific-GM-Q95-2020,GM-RBI-2020
Specific-GM-Q95-2011,NGM-RBI-2011,Specific-NGM-MinFlow-2012,NGM-CVQ-2012,Specific-GM-Q95-2013,NGM-CVQ-2013,Specific-GM-MedianFlow-2014,GM-CVQ-2014,Specific-GM-MedianFlow-2015,NGM-CVQ-2015,Specific-GM-Q95-2016,NGM-CVQ-2016,Specific-GM-MedianFlow-2017,NGM-RBI-2017,Specific-NGM-Q5-2018,GM-CVQ-2018,Specific-NGM-MedianFlow-2019,GM-RBI-2019,Specific-GM-MedianFlow-2020,GM-CVQ-2020
Specific-NGM-MinFlow-2011,GM-CVQ-2011,Specific-NGM-Q95-2012,GM-CVQ-2012,Specific-NGM-Q95-2013,GM-RBI-2013,Specific-NGM-Q95-2014,NGM-CVQ-2014,Specific-NGM-Q95-2015,GM-RBI-2015,Specific-NGM-Q95-2016,GM-RBI-2016,Specific-NGM-Q95-2017,GM-CVQ-2017,Specific-GM-Q95-2018,NGM-CVQ-2018,Specific-GM-MaxFlow-2019,GM-CVQ-2019,Specific-NGM-Q95-2020,NGM-CVQ-2020
Specific-NGM-Q95-2011,GM-BFI-2011,Specific-NGM-Q5-2012,NGM-BFI-2012,Specific-NGM-Q5-2013,GM-BFI-2013,Specific-NGM-Q5-2014,NGM-BFI-2014,Specific-NGM-Q5-2015,NGM-BFI-2015,Specific-NGM-Q5-2016,Specific-GM-MaxFlow-2016,Specific-NGM-Q5-2017,GM-BFI-2017,Specific-GM-MedianFlow-2018,GM-BFI-2018,Specific-NGM-Q95-2019,NGM-BFI-2019,Specific-NGM-Q5-2020,GM-BFI-2020
